Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
isoleucine,142,9.1356,5.6053,15.155,13.0103,8.653,,,,,,,,,,,,,,,,,,,,,
isoleucine,142,8.7325,6.2764,14.269,13.4141,8.9008,,,,,,,,,,,,,,,,,,,,,
isoleucine,142,8.6372,6.0587,14.826,13.8374,8.4523,,,,,,,,,,,,,,,,,,,,,
isoleucine,166,0,6.4824,7.8488,0,21.5294,,,,,,,,,,,,,,,,,,,,,
isoleucine,166,0,6.8424,7.836,0,18.5871,,,,,,,,,,,,,,,,,,,,,
isoleucine,166,0,6.684,7.6988,0,17.3219,,,,,,,,,,,,,,,,,,,,,
isoleucine,190,10.9011,13.7571,17.4736,19.776,9.0485,,,,,,,,,,,,,,,,,,,,,
isoleucine,190,9.8647,14.0327,18.3328,0,8.5881,,,,,,,,,,,,,,,,,,,,,
isoleucine,190,10.3655,14.1539,17.7268,20.8072,8.3272,,,,,,,,,,,,,,,,,,,,,
isoleucine,214,14.2972,26.2187,17.1831,29.7324,58.5342,,,,,,,,,,,,,,,,,,,,,
isoleucine,214,11.7635,18.9113,14.5488,25.9618,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,214,10.2597,0,14.5432,24.227,19.7294,,,,,,,,,,,,,,,,,,,,,
isoleucine,238,8.4106,13.499,13.7587,11.1457,5.3636,,,,,,,,,,,,,,,,,,,,,
isoleucine,238,7.097,12.0983,12.9816,10.3227,5.4099,,,,,,,,,,,,,,,,,,,,,
isoleucine,238,7.7155,0,12.5586,9.5361,5.6163,,,,,,,,,,,,,,,,,,,,,
isoleucine,262,11.234,0,12.3593,8.04,7.8946,,,,,,,,,,,,,,,,,,,,,
isoleucine,262,10.2967,0,11.9459,8.1572,7.6634,,,,,,,,,,,,,,,,,,,,,
isoleucine,262,10.0228,0,11.6646,8.8127,7.4874,,,,,,,,,,,,,,,,,,,,,
isoleucine,362,8.8998,8.3503,10.0954,10.1848,7.7393,,,,,,,,,,,,,,,,,,,,,
isoleucine,362,8.6811,8.2799,9.8974,9.7429,7.7657,,,,,,,,,,,,,,,,,,,,,
isoleucine,362,8.4016,7.6159,9.5899,9.5211,7.5751,,,,,,,,,,,,,,,,,,,,,
isoleucine,407,6.2584,7.9738,33.7507,12.9062,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,407,6.4341,8.1519,26.3126,12.8079,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,407,6.7503,7.104,24.3141,12.4805,0,,,,,,,,,,,,,,,,,,,,,
isoleucine,698,10.4192,0,9.7401,0,15.7021,,,,,,,,,,,,,,,,,,,,,
isoleucine,698,9.759,0,9.6316,10.3762,12.6979,,,,,,,,,,,,,,,,,,,,,
isoleucine,698,9.7355,0,9.6642,10.3176,12.1465,,,,,,,,,,,,,,,,,,,,,
methionine,0,26.4718,26.4718,26.4718,26.4718,26.4718,,,,,,,,,,,,,,,,,,,,,
methionine,0,24.0218,24.0218,24.0218,24.0218,24.0218,,,,,,,,,,,,,,,,,,,,,
methionine,0,21.8557,21.8557,21.8557,21.8557,21.8557,,,,,,,,,,,,,,,,,,,,,
methionine,0.5,23.472,23.472,23.472,23.472,23.472,,,,,,,,,,,,,,,,,,,,,
methionine,0.5,23.8724,23.8724,23.8724,23.8724,23.8724,,,,,,,,,,,,,,,,,,,,,
methionine,0.5,23.2785,23.2785,23.2785,23.2785,23.2785,,,,,,,,,,,,,,,,,,,,,
methionine,0.75,74.1624,74.1624,74.1624,74.1624,74.1624,,,,,,,,,,,,,,,,,,,,,
methionine,0.75,61.7369,61.7369,61.7369,61.7369,61.7369,,,,,,,,,,,,,,,,,,,,,
methionine,0.75,59.6643,59.6643,59.6643,59.6643,59.6643,,,,,,,,,,,,,,,,,,,,,
